,gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,MonthlyCharges
2142,1,0,1,21,1,0,0,1,64.85
1623,1,0,0,54,1,1,1,2,97.2
6074,0,0,0,1,0,0,0,0,23.45
1362,0,0,0,4,1,0,1,0,70.2
6754,0,0,1,0,1,1,0,2,61.9
1212,0,0,0,7,1,0,1,0,69.55
2722,0,0,1,32,1,0,0,2,18.95
4006,0,0,1,72,1,0,0,2,19.8
6791,0,0,0,19,0,0,0,0,39.65
5466,0,0,1,10,1,0,0,1,19.95
5852,0,1,0,21,1,0,1,0,69.1
4195,1,1,0,45,1,1,0,0,70.05
4166,0,1,0,32,1,0,0,1,19.8
5234,1,0,0,40,1,1,1,1,105.75
3414,1,0,0,47,0,0,0,2,41.9
1803,1,0,0,36,0,0,0,2,53.1
6203,1,0,1,69,1,1,1,1,105.1
5285,1,0,0,71,1,0,0,2,80.7
1323,1,0,0,71,1,1,0,2,24.65
5666,0,0,0,35,0,0,0,1,53.15
1941,0,0,0,3,1,0,0,0,54.65
6601,0,1,0,72,1,1,1,2,109.7
1902,0,0,1,72,1,1,0,2,90.6
3704,1,0,1,68,1,1,0,1,73.0
387,1,0,0,42,0,0,0,1,54.75
5550,0,1,0,21,1,0,0,1,20.5
1032,1,1,0,8,1,0,1,0,92.1
4523,0,1,0,10,1,0,1,0,75.3
6582,1,0,0,71,1,1,1,2,106.75
5587,1,1,0,46,1,0,1,1,91.3
3306,1,0,1,3,1,0,1,0,80.0
6625,1,1,0,12,1,1,1,0,91.3
3316,1,0,0,26,0,0,0,1,47.85
1010,0,0,0,3,1,0,0,0,50.15
3641,1,0,0,49,1,0,0,2,74.45
931,0,0,0,33,1,0,1,2,80.6
6352,0,0,0,42,1,1,1,0,94.4
691,0,0,1,31,1,1,0,1,75.25
533,0,1,1,68,1,1,1,1,107.15
6451,0,1,1,66,1,1,1,1,116.25
2227,0,0,1,58,1,0,0,1,19.55
652,0,0,1,35,1,0,0,2,20.1
33,0,0,0,1,1,0,0,0,20.2
4118,1,0,0,40,1,0,1,0,74.8
44,1,0,0,13,1,1,0,0,76.2
6767,0,0,0,57,1,0,0,0,55.7
5100,1,0,0,1,1,0,1,0,75.3
964,0,0,0,1,1,0,0,0,45.7
5589,1,0,0,46,1,0,0,2,54.35
2415,1,1,1,40,1,1,1,0,94.55
6202,0,0,1,21,1,1,0,1,77.5
2263,1,0,0,6,1,0,1,0,98.15
5202,0,0,1,59,1,1,1,2,111.1
4450,0,0,0,15,1,1,0,0,58.6
5247,1,0,0,27,1,1,1,0,94.55
6306,0,0,0,71,1,1,1,1,116.3
5244,1,0,0,45,1,1,1,0,89.3
2316,0,0,0,4,1,0,0,0,20.7
2617,1,0,0,1,1,0,0,0,19.6
26,0,0,1,47,1,1,1,0,99.35
3605,0,0,0,34,1,0,0,0,49.8
63,1,0,1,18,1,0,0,1,54.4
1044,1,0,0,8,1,0,0,1,54.25
3660,0,0,0,7,0,0,0,1,35.5
5360,0,0,1,5,1,1,1,0,84.5
2656,1,0,0,39,1,0,0,1,59.3
1454,0,0,1,29,1,0,0,0,20.65
227,1,0,0,1,1,0,0,0,55.2
6984,0,0,1,31,0,0,0,0,25.0
3080,0,0,0,2,0,0,0,0,24.3
3317,0,0,0,63,1,0,0,1,70.8
5035,0,0,0,20,1,0,1,0,78.8
3184,1,0,0,71,1,1,0,2,83.3
2833,1,0,0,66,1,0,0,2,61.15
3539,0,0,0,8,1,0,0,0,45.15
969,1,0,0,2,1,1,1,0,96.0
4603,0,0,0,3,0,0,0,0,35.1
5751,1,0,0,47,1,0,0,2,20.25
2662,0,0,0,2,0,0,0,0,49.25
4094,0,0,0,1,1,0,1,0,74.0
6034,1,0,0,7,1,0,0,1,20.25
3813,0,0,1,69,1,1,1,2,105.0
2387,0,0,0,5,1,1,1,0,105.3
4224,1,0,0,71,1,0,0,2,19.6
6375,1,0,0,1,1,0,1,0,74.3
3567,1,0,1,14,1,0,1,0,89.65
4148,1,0,0,29,1,0,0,0,19.35
2646,0,0,0,56,1,0,0,2,81.8
6626,0,1,0,6,1,0,1,0,95.75
252,0,1,0,1,0,0,0,0,40.2
5435,1,0,1,46,1,0,1,1,90.95
4554,0,0,0,20,1,0,1,0,108.2
3975,1,1,0,20,1,1,1,0,85.8
4847,1,1,0,37,1,1,1,0,76.25
5719,1,0,1,24,1,0,0,2,19.7
2818,0,0,1,29,1,0,1,0,94.65
